id,name,price,point
82,Nồi cơm điện tử Panasonic 1.8 lít SR-CX188SRAM,,4.8
83,Nồi cơm điện tử Kangaroo 1.5 lít KG15RCE2,,
84,Nồi cơm điện tử Cuckoo 1 lít CR- 0631F,,4.5
85,Nồi cơm nắp gài Sharp 2.2 lít KS-223TJV-CH,,3.3
86,Nồi cơm nắp gài Cuckoo 2.5 lít CR-1413,,4.3
87,Nồi cơm điện tử Tefal 1.8 lít RK733168,,4.0
88,Nồi cơm nắp gài Cuckoo 3 lít CR- 1713,,4.2
89,Nồi cơm nắp gài Sharp 1.8 lít KS-183TJV-CR,,4.0
90,Nồi cơm điện tử Kangaroo 1.8 lít KG18DR9,990.000₫,4.4
91,Nồi cơm cao tần Toshiba 1.8 lít RC-18RH(CG)VN,,4.1
92,Nồi cơm cao tần Toshiba 1 lít RC-10IP1PV,,4.5
93,Nồi cơm nắp gài Kangaroo 2.2 lít KG22R1,,4.0
94,Nồi cơm nắp gài Crystal 1.2 lít JRC-120S,559.000₫,4.3
95,Nồi cơm điện tử BlueStone 1.5 lít RCB-5946,,3.9
96,Nồi cơm nắp gài BlueStone 1.8 lít RCB-5519,,4.3
97,Nồi cơm cao tần Sharp 1.8 lít KS-IH191V-GL,,4.4
98,Nồi cơm nắp gài Sunhouse 1.8 lít SHD8632,,
99,Nồi cơm nắp gài Kangaroo 1.2 lít KG12RC1,,4.0
100,Nồi cơm nắp rời Sharp 5 lít KSH-D55V,,4.4
101,Nồi cơm nắp gài Happycook 1.2 lít HC-120,590.000₫,4.3
102,Nồi cơm điện tử Kangaroo 1.8 lít KG18DR6,,3.9
103,Nồi cơm điện tử Electrolux 1 lít E7RC1-550K,1.390.000₫,4.2
104,Nồi cơm nắp gài Happycook 1.8 lít HCJ-180V,,3.5
105,Nồi cơm nắp rời AVA 2.8 lít G2507,,4.2
106,Nồi cơm nắp gài Kangaroo 1.2 lít KG826S,,3.7
107,Nồi cơm áp suất cao tần Cuckoo 1.8 lít CRP-HUS1000F,5.990.000₫,4.5
