id,name,price,point
1,Bộ lau nhà Hommy MH-X2,230.000₫,4.3
2,Bộ lau nhà Hommy MH-HomePlus X2,260.000₫,4.2
3,Bông lau nhà 15.7 cm DMX B-16,20.000₫,4.6
4,Cây lau nhà Hommy CL009,140.000₫,4.4
5,Bộ lau nhà Hommy MH-Xmop,290.000₫,4.2
6,Bộ lau nhà DMX Pro-1,329.000₫,3.9
7,Cây lau nhà Hommy CL008,160.000₫,4.4
8,Bộ lau nhà Delites BH-M905,190.000₫,
9,Bộ lau nhà DMX-X2,220.000₫,4.5
10,Bông lau nhà 22.5 cm DMX Pro-1,30.000₫,4.5
11,Bộ lau nhà Hommy BH-M950A,180.000₫,4.0
12,Bộ lau nhà Delites BH-M760,280.000₫,
13,Bộ lau nhà Delites MH - HomePlus X10,280.000₫,5
14,Bộ lau nhà Delites AB0814,180.000₫,5
15,Bông lau nhà 32 x 12 cm Hommy BH-M950A-FMR,20.000₫,4.5
16,Bộ lau nhà Hommy BH-PM41,180.000₫,3.3
17,Bộ lau nhà Inochi Souji Plus HNK.LNTN.TRSJZZ2,380.000₫,
18,Bộ lau nhà Inochi Souji HNK.LNTN.VUSJZZ1,350.000₫,
19,Bông lau nhà 36 x 11 cm Hommy BH-M800-FMR xám,20.000₫,4.4
20,Cây lau nhà tự vắt JOYBOS 36T1,150.000₫,4.3
21,Bông lau nhà 34 x 6 cm Hommy BH-PM41-FMR,20.000₫,4.2
22,Bông lau nhà 23.5 cm Hommy AB0621,30.000₫,3
